	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	abYes	abYes	y1	y1	y1	y1	y1
							
age	-0.00211	-0.00211	-0.000732	-0.000732	-0.000732	-0.000732	-0.000732
	(0.00248)	(0.00248)	(0.000861)	(0.000861)	(0.000861)	(0.000861)	(0.000861)
HS	0.340***	0.340***	0.118***	0.118***	0.118***	0.118***	0.118***
	(0.120)	(0.120)	(0.0414)	(0.0414)	(0.0414)	(0.0414)	(0.0414)
Assoc	0.321**	0.321**	0.112**	0.112**	0.112**	0.112**	0.112**
	(0.162)	(0.162)	(0.0562)	(0.0562)	(0.0562)	(0.0562)	(0.0562)
Bach	0.723***	0.723***	0.251***	0.251***	0.251***	0.251***	0.251***
	(0.136)	(0.136)	(0.0459)	(0.0459)	(0.0459)	(0.0459)	(0.0459)
Grad	0.921***	0.921***	0.320***	0.320***	0.320***	0.320***	0.320***
	(0.157)	(0.157)	(0.0529)	(0.0529)	(0.0529)	(0.0529)	(0.0529)
Male	-0.0542	-0.0542	-0.0188	-0.0188	-0.0188	-0.0188	-0.0188
	(0.0701)	(0.0701)	(0.0244)	(0.0244)	(0.0244)	(0.0244)	(0.0244)
Protestant	-0.683***	-0.683***	-0.237***	-0.237***	-0.237***	-0.237***	-0.237***
	(0.0903)	(0.0903)	(0.0296)	(0.0296)	(0.0296)	(0.0296)	(0.0296)
Catholic	-0.623***	-0.623***	-0.216***	-0.216***	-0.216***	-0.216***	-0.216***
	(0.106)	(0.106)	(0.0356)	(0.0356)	(0.0356)	(0.0356)	(0.0356)
Jewish	-0.145	-0.145	-0.0503	-0.0503	-0.0503	-0.0503	-0.0503
	(0.308)	(0.308)	(0.107)	(0.107)	(0.107)	(0.107)	(0.107)
Other	0.121	0.121	0.0420	0.0420	0.0420	0.0420	0.0420
	(0.301)	(0.301)	(0.104)	(0.104)	(0.104)	(0.104)	(0.104)
Buddhism	-0.190	-0.190	-0.0659	-0.0659	-0.0659	-0.0659	-0.0659
	(0.395)	(0.395)	(0.137)	(0.137)	(0.137)	(0.137)	(0.137)
Hinduism	-0.610	-0.610	-0.212	-0.212	-0.212	-0.212	-0.212
	(0.624)	(0.624)	(0.216)	(0.216)	(0.216)	(0.216)	(0.216)
MuslimOrIslam	-1.152**	-1.152**	-0.400**	-0.400**	-0.400**	-0.400**	-0.400**
	(0.451)	(0.451)	(0.156)	(0.156)	(0.156)	(0.156)	(0.156)
OrthodoxChristian	-1.078**	-1.078**	-0.375**	-0.375**	-0.375**	-0.375**	-0.375**
	(0.544)	(0.544)	(0.188)	(0.188)	(0.188)	(0.188)	(0.188)
Christian	-0.533*	-0.533*	-0.185*	-0.185*	-0.185*	-0.185*	-0.185*
	(0.299)	(0.299)	(0.104)	(0.104)	(0.104)	(0.104)	(0.104)
MiddleAtlantic	0.256	0.256	0.0890	0.0890	0.0890	0.0890	0.0890
	(0.188)	(0.188)	(0.0652)	(0.0652)	(0.0652)	(0.0652)	(0.0652)
EastNorthCentral	0.0421	0.0421	0.0146	0.0146	0.0146	0.0146	0.0146
	(0.168)	(0.168)	(0.0584)	(0.0584)	(0.0584)	(0.0584)	(0.0584)
WestNorthCentral	-0.341	-0.341	-0.119	-0.119	-0.119	-0.119	-0.119
	(0.210)	(0.210)	(0.0726)	(0.0726)	(0.0726)	(0.0726)	(0.0726)
SouthAtlantic	-0.0724	-0.0724	-0.0252	-0.0252	-0.0252	-0.0252	-0.0252
	(0.164)	(0.164)	(0.0569)	(0.0569)	(0.0569)	(0.0569)	(0.0569)
EastSouthAtlantic	-0.580***	-0.580***	-0.202***				
	(0.205)	(0.205)	(0.0706)				
WestSouthCentral	-0.307*	-0.307*	-0.107*	-0.107*	-0.107*	-0.107*	-0.107*
	(0.178)	(0.178)	(0.0615)	(0.0615)	(0.0615)	(0.0615)	(0.0615)
Mountain	0.161	0.161	0.0560	0.0560	0.0560	0.0560	0.0560
	(0.191)	(0.191)	(0.0662)	(0.0662)	(0.0662)	(0.0662)	(0.0662)
Pacific	0.104	0.104	0.0360	0.0360	0.0360	0.0360	0.0360
	(0.172)	(0.172)	(0.0596)	(0.0596)	(0.0596)	(0.0596)	(0.0596)
Married	-0.267***	-0.267***	-0.0927***	-0.0927***	-0.0927***	-0.0927***	-0.0927***
	(0.0936)	(0.0936)	(0.0323)	(0.0323)	(0.0323)	(0.0323)	(0.0323)
Widowed	-0.216	-0.216	-0.0751	-0.0751	-0.0751	-0.0751	-0.0751
	(0.165)	(0.165)	(0.0573)	(0.0573)	(0.0573)	(0.0573)	(0.0573)
Divorced	-0.0936	-0.0936	-0.0325	-0.0325	-0.0325	-0.0325	-0.0325
	(0.118)	(0.118)	(0.0410)	(0.0410)	(0.0410)	(0.0410)	(0.0410)
Separated	0.00403	0.00403	0.00140	0.00140	0.00140	0.00140	0.00140
	(0.194)	(0.194)	(0.0673)	(0.0673)	(0.0673)	(0.0673)	(0.0673)
Country_Nonfarm	-0.382***	-0.382***	-0.133***	-0.133***	-0.133***	-0.133***	-0.133***
	(0.133)	(0.133)	(0.0459)	(0.0459)	(0.0459)	(0.0459)	(0.0459)
Farm	-0.221	-0.221	-0.0767	-0.0767	-0.0767	-0.0767	-0.0767
	(0.166)	(0.166)	(0.0575)	(0.0575)	(0.0575)	(0.0575)	(0.0575)
Town_Lt_FiftyK	-0.317***	-0.317***	-0.110***	-0.110***	-0.110***	-0.110***	-0.110***
	(0.101)	(0.101)	(0.0349)	(0.0349)	(0.0349)	(0.0349)	(0.0349)
FiftyK_to_TwoFiftyK	-0.0597	-0.0597	-0.0208	-0.0208	-0.0208	-0.0208	-0.0208
	(0.114)	(0.114)	(0.0396)	(0.0396)	(0.0396)	(0.0396)	(0.0396)
Big_City_Suburb	0.103	0.103	0.0358	0.0358	0.0358	0.0358	0.0358
